asn	org_name	count
AS134351	Leaseweb Japan K.K.	1
AS134766	CHINANET Yunnan province IDC2 network	1
AS134770	CHINANET Jiangsu province Suzhou taihu IDC network	1
AS137687	Luoyang, Henan Province, P.R.China.	1
AS137693	CHINATELECOM Guangxi Nanning IDC network	1
AS137698	Haerbing , Heilongjiang Province, P.R.China.	1
AS140227	Hong Kong Communications International Co., Limited	1
AS141757	Zoho Japan Corporation	1
AS147060	HCS LIMITED	1
AS150772	National Credit Card Center of R.O.C.	1
AS16880	TREND MICRO INCORPORATED	1
AS17713	Ministry of Education Computer Center	1
AS17809	VEE TIME CORP.	1
AS17816	China Unicom IP network China169 Guangdong province	1
AS18045	SinoPac Holdings Corporate Network	1
AS18185	NTCU	1
AS18413	Great Taipei Broadband Company Ltd.	1
AS18415	B-WIZ Technology	1
AS18419	DaDa Broadband LTD.	1
AS18421	Taishin International Bank	1
AS18424	CM Craft Aesthetic	1
AS19750	Criteo Corp.	1
AS204844	NCSE NETWORK LTD	1
AS212238	Datacamp Limited	1
AS212317	Hetzner Online GmbH	1
AS22612	Namecheap, Inc.	1
AS23724	IDC, China Telecommunications Corporation	1
AS24168	Cloudmax Inc.	1
AS26101	Yahoo Holdings Inc.	1
AS26277	ServerPoint.com	1
AS29169	GANDI SAS	1
AS29873	Newfold Digital, Inc.	1
AS30148	Sucuri	1
AS30277	DFW Datacenter	1
AS30475	Handy Networks, LLC	1
AS36351	IBM Cloud	1
AS36459	GitHub, Inc.	1
AS38532	Exabytes Network (Singapore) Pte. Ltd.	1
AS394380	Leaseweb USA, Inc.	1
AS395409	Neocities	1
AS396986	Bytedance Inc.	1
AS39729	REGISTER S.P.A.	1
AS4058	CITIC Telecom International CPC Limited	1
AS41745	Baykov Ilya Sergeevich	1
AS42263	WIIT AG	1
AS47191	blue tech technology Co., Limited	1
AS53831	Squarespace, Inc.	1
AS55836	Reliance Jio Infocomm Limited	1
AS56630	Melbikomas UAB	1
AS57724	DDOS-GUARD LTD	1
AS58061	Scalaxy B.V.	1
AS58541	Qingdao,266000	1
AS6185	Apple Inc.	1
AS63023	GTHost	1
AS6453	TATA COMMUNICATIONS (AMERICA) INC	1
AS7482	Asia Pacific On-line Service Inc.	1
AS7506	GMO Internet Group, Inc.	1
AS7656	Taiwan Network Access Point	1
AS8590	Bayerische Motoren Werke Aktiengesellschaft	1
AS9370	SAKURA Internet Inc.	1
AS9916	National Yang Ming Chiao Tung University	1
